"link_source","link_target","link_value"
1,0,0.551769027654069
1,1,0.0972662158672267
1,2,0.0313526091379119
1,3,0.0357468495865329
1,4,0.0113367450734438
1,5,0.0402912979545371
1,6,0.0370473339411923
1,7,0.0106660798895313
1,8,0.00429146660904304
1,9,0.0248633634978945
1,10,0.0359181393191628
1,11,0.0543001628570073
1,12,0.00214507449785756
1,13,0.0474235388985807
1,14,0.00756178288894628
1,15,0.00138217638099053
1,16,0.00663813594607272
2,0,0.128212284990118
2,1,0.626851953661335
2,2,0.030567279309149
2,3,0.0315004806973918
2,4,0.00851158607584587
2,5,0.0268993185656328
2,6,0.0178182259024001
2,7,0.0185089640900723
2,8,0.00690738187672156
2,9,0.0217314691860285
2,10,0.00984513367898436
2,11,0.0283681944667642
2,12,0.00120385798422861
2,13,0.0240433276100741
2,14,0.0165551617877996
2,15,0.000513119796556459
2,16,0.00196226032089723
3,0,0.129421259657426
3,1,0.0622071429690806
3,2,0.564072025199417
3,3,0.0283806867154566
3,4,0.0110560875084233
3,5,0.0223002303678049
3,6,0.00580620896083747
3,7,0.00984156336681763
3,8,0.0377442760652552
3,9,0.0196282772562724
3,10,0.0234128911943082
3,11,0.0328470013007162
3,12,0.0056965100061118
3,13,0.0212815972167808
3,14,0.0209681716318503
3,15,0.000203726630204824
3,16,0.0051323439532369
4,0,0.0680979929012619
4,1,0.0356989478204853
4,2,0.0114628200431987
4,3,0.710161174196971
4,4,0.00469880887721204
4,5,0.0158426909522667
4,6,0.0678801045863911
4,7,0.0127196251057864
4,8,0.0230298475413356
4,9,0.00807134105521101
4,10,0.00786292614533466
4,11,0.0101933837739519
4,12,0.00700400409251096
4,13,0.0134048680670464
4,14,0.00284517929997853
4,15,0.000192625901552375
4,16,0.000833659639505362
5,0,0.0416981907005901
5,1,0.0197358466094551
5,2,0.00613187494145537
5,3,0.00576439477457614
5,4,0.857360051303114
5,5,0.0160538394471945
5,6,0.002356196364108
5,7,0.00642730017365239
5,8,0.00969859420822435
5,9,0.00385493900549779
5,10,0.00555543546399775
5,11,0.00461151581966091
5,12,0.00118170092878811
5,13,0.00454666637844693
5,14,0.0127032849844722
5,15,0.00177975688665038
5,16,0.000540412010116513
6,0,0.0675217866137696
6,1,0.0398139686926546
6,2,0.0220280681421386
6,3,0.0262813797817252
6,4,0.0103119590493384
6,5,0.534847437983373
6,6,0.136637172086389
6,7,0.016470902890766
6,8,0.0284990453265578
6,9,0.0239411297092889
6,10,0.0104531169902155
6,11,0.0150964703085415
6,12,0.0104494023075609
6,13,0.0127413615054866
6,14,0.0427782854510739
6,15,0.00137814726487916
6,16,0.000750365896241484
7,0,0.086044916442858
7,1,0.0111557401384827
7,2,0.00277101896373446
7,3,0.112676729242099
7,4,0.00103401323400436
7,5,0.099681605825965
7,6,0.605791839144397
7,7,0.00348424921425232
7,8,0.0252497159023045
7,9,0.00707770114628728
7,10,0.00154931355854119
7,11,0.00325901860882563
7,12,0.0272460780867684
7,13,0.00927881842659359
7,14,0.00317370398555794
7,15,9.5552378059809e-05
7,16,0.00042998570126914
8,0,0.017038784324646
8,1,0.0223134087943169
8,2,0.00403241218514696
8,3,0.00914868871525218
8,4,0.00257724922327605
8,5,0.00880469146723017
8,6,0.00705194358445132
8,7,0.89885661867086
8,8,0.00846342435609721
8,9,0.00274378757350894
8,10,0.00269464510950579
8,11,0.00360378069356398
8,12,0.00506986420299114
8,13,0.0064758847008589
8,14,0.000824501340497213
8,15,7.91739697828449e-05
8,16,0.000221141088014153
9,0,0.0699157398981654
9,1,0.0292027591189158
9,2,0.0368438235886607
9,3,0.0693322404295667
9,4,0.0194986072423398
9,5,0.0262991546204128
9,6,0.0662758146416688
9,7,0.0327732201529602
9,8,0.559596829652887
9,9,0.00757160024729263
9,10,0.0142123799137254
9,11,0.0281260636709063
9,12,0.0352253072055238
9,13,0.00466799574878959
9,14,0.000305642578789794
9,15,5.55713779617808e-05
9,16,9.72499114331164e-05
10,0,0.10994210182347
10,1,0.066191699113578
10,2,0.026049577039553
10,3,0.016807960308913
10,4,0.00768600594629921
10,5,0.0424157070665231
10,6,0.0186857390071705
10,7,0.00671029740700853
10,8,0.0107880227174403
10,9,0.625079391378787
10,10,0.0141753882123363
10,11,0.0203333977669161
10,12,0.00141753882123363
10,13,0.0105026739936855
10,14,0.0207015896685352
10,15,0.000312963116376255
10,16,0.00219994661217427
11,0,0.255798310283593
11,1,0.0537049991928106
11,2,0.0244309314965291
11,3,0.0318570736694829
11,4,0.0202469999461874
11,5,0.0400500457407308
11,6,0.00865037937900231
